Sl. No.,State/UT,Wind Power,Solar Power,Small Hydro Power
38,Total,48588.56,102566.02,5100.55
7,Gujarat,12583.88,18125.41,106.64
25,Tamil Nadu,11514.64,9723.95,123.05
12,Karnataka,6878.3,9312.71,1284.73
16,Maharashtra,5279.08,9881.37,384.28
23,Rajasthan,5195.82,27636.75,23.85
1,Andhra Pradesh,4096.65,5179.23,163.31
15,Madhya Pradesh,2844.29,5012.88,123.71
26,Telangana,128.1,4842.1,90.87
13,Kerala,63.5,1482.14,276.52
37,Others,4.3,45.01,0
9,Himachal Pradesh,0,170.26,1000.71
29,Uttarakhand,0,593.07,233.82
10,Jammu and Kashmir,0,74.49,189.93
22,Punjab,0,1421.43,176.1
2,Arunachal Pradesh,0,14.85,140.61
21,Odisha,0,621.84,115.63
30,West Bengal,0,320.62,98.5
5,Chhattisgarh,0,1340.54,76
8,Haryana,0,2025.18,73.5
4,Bihar,0,319.44,70.7
24,Sikkim,0,7.56,55.11
18,Meghalaya,0,4.28,55.03
28,Uttar Pradesh,0,3357.51,49.1
14,Ladakh,0,7.8,45.79
19,Mizoram,0,30.39,45.47
3,Assam,0,192.34,34.11
20,Nagaland,0,3.17,32.67
27,Tripura,0,21.24,16.01
17,Manipur,0,13.79,5.45
31,Andaman and Nicobar Islands,0,29.91,5.25
11,Jharkhand,0,199.87,4.05
6,Goa,0,55.44,0.05
34,Delhi,0,313.4,0
32,Chandigarh,0,78.85,0
36,Puducherry,0,54.11,0
33,Dadra and Nagar Haveli and Daman and Diu,0,48.12,0
35,Lakshadweep,0,4.97,0
